Date/Time	Run	TPN	Comment	SC1Mod4/ai0	VWT_Ps	VWT_Q	VWT_PREF	PSI8400_101	PSI8400_102	PSI8400_103	PSI8400_104	PSI8400_105	PSI8400_106	PSI8400_107	PSI8400_108	PSI8400_109	PSI8400_110	PSI8400_111	PSI8400_112	PSI8400_113	PSI8400_114	PSI8400_115	PSI8400_116	PSI8400_117	PSI8400_118	PSI8400_119	PSI8400_120	PSI8400_121	PSI8400_122	PSI8400_123	PSI8400_124	PSI8400_125	PSI8400_126	PSI8400_127	PSI8400_128	PSI8400_129	PSI8400_130	PSI8400_131	PSI8400_132	PSI8400_201	PSI8400_202	PSI8400_203	PSI8400_204	PSI8400_205	PSI8400_206	PSI8400_207	PSI8400_208	PSI8400_209	PSI8400_210	PSI8400_211	PSI8400_212	PSI8400_213	PSI8400_214	PSI8400_215	PSI8400_216	PSI8400_217	PSI8400_218	PSI8400_219	PSI8400_220	PSI8400_221	PSI8400_222	PSI8400_223	PSI8400_224	PSI8400_225	PSI8400_226	PSI8400_227	PSI8400_228	PSI8400_229	PSI8400_230	PSI8400_231	PSI8400_232	T0TS	QTS	PSTS	VTS	RN
				Deg F	PSIA	PSI	PSIA	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	DegR	PSF	PSFA	Ft/Sec	
08022017 12:32:51.280226	1	1	WindOff	77.31333	14.30658	-0.000059	14.3069	-0.000065	-0.00006	-0.000009	-0.000051	-0.000048	0.000004	0.000003	-0.000181	-0.000009	-0.000009	0.092059	0.000015	0.000061	-0.000073	-0.000022	0.000045	0.000004	-0.000036	-0.000046	-0.00011	0.000108	0.00011	0.000042	-0.000009	-0.000009	-0.000022	0.000018	-0.000074	0.000018	0.000058	0.000095	-0.000086	-0.000037	-0.000009	-0.000065	-0.000065	0.000019	-0.00008	-0.000022	-0.00008	-0.000037	-0.000094	-0.00009	-0.000077	-0.000035	-0.00005	-0.000089	-0.000023	-0.000037	-0.000063	-0.000092	-0.000094	-0.000009	-0.000037	-0.000009	-0.000009	0.092017	-0.000037	-0.000051	-0.000065	-0.000037	-0.000035	-0.000066	-0.000063	536.98333	-0.008099	2060.14752	NaN	NaN
08022017 12:33:05.280226	1	2	WindOff	77.427445	14.30664	-0.000074	14.30694	-0.000079	-0.000073	-0.000023	-0.000037	-0.000061	0.000004	0.000003	-0.000168	-0.000037	-0.000022	0.092524	0.000015	0.000047	-0.000073	-0.000048	0.000032	-0.000022	-0.000062	-0.000071	-0.000148	0.000095	0.00011	0.000055	0.000054	0.000005	-0.000009	0.000005	-0.000061	0.000032	0.000045	0.000108	-0.00006	-0.000037	-0.000009	-0.000093	-0.000051	0.000005	-0.000094	-0.000009	-0.000094	-0.000037	-0.00008	-0.000077	-0.000077	-0.000022	-0.000022	-0.000089	-0.000009	-0.000052	-0.000077	-0.000078	-0.000094	-0.000009	-0.000023	-0.000037	-0.000009	0.092469	-0.000037	-0.000051	-0.000093	-0.000051	-0.000062	-0.00008	-0.00005	537.097445	-0.010151	2060.15616	NaN	NaN
08022017 12:33:15.280226	1	3	WindOff	77.441931	14.3065	-0.000073	9.78414	-0.000093	-0.000073	-0.000065	-0.00008	-0.000087	-0.000009	-0.000009	-0.000194	-0.000023	-0.00005	0.092876	0.000027	0.000033	-0.000112	-0.000075	0.000005	-0.000034	-0.000102	-0.000058	-0.000136	0.000082	0.000084	0.000017	-0.000009	-0.000022	-0.000009	0.000031	-0.0001	0.000032	0.000005	0.000095	-0.000111	-0.000092	-0.000036	-0.000107	-0.000079	-0.000037	-0.000137	-0.000022	-0.000094	-0.000051	-0.000094	-0.00009	-0.000132	-0.000048	-0.00005	-0.000116	-0.000023	-0.000066	-0.000077	-0.000106	-0.000136	-0.000009	-0.000037	-0.000037	-0.000009	0.092829	-0.000078	-0.000051	-0.000079	-0.000079	-0.000062	-0.000094	-0.000077	537.111931	-0.009932	2060.136	NaN	NaN
08022017 12:33:29.280226	1	4	WindOff	77.408375	14.30662	-0.000073	14.30692	-0.000093	-0.000073	-0.000023	-0.00008	-0.000074	-0.000016	-0.000021	-0.000215	-0.000016	-0.000029	0.092707	0.000021	0.000033	-0.000105	-0.000041	0.000025	-0.000047	-0.000075	-0.000064	-0.00013	0.000095	0.000097	0.000029	-0.000003	-0.000022	0.000005	0.000031	-0.000107	0.000011	0.000045	0.000095	-0.000092	-0.000064	-0.000016	-0.000086	-0.000065	-0.000009	-0.000115	-0.000022	-0.000087	-0.00003	-0.000115	-0.000103	-0.000084	-0.000035	-0.000057	-0.000109	-0.000023	-0.00008	-0.000077	-0.000071	-0.000143	-0.000016	-0.000044	-0.000037	-0.000016	0.092669	-0.000071	-0.00008	-0.000072	-0.000058	-0.000069	-0.000087	-0.000091	537.078375	-0.010041	2060.15328	NaN	NaN
08022017 12:34:25.280226	1	5	WindOff	77.387269	14.3063	-0.000075	14.3066	-0.000051	-0.000064	0.000041	-0.000013	-0.000069	0.000042	-0.000007	-0.000167	0.000004	-0.000007	0.092538	0.000026	0.000051	-0.000084	-0.000029	0.000087	-0.000024	-0.000014	-0.000029	-0.000078	0.000073	0.000112	0.000028	0.00004	-0.000026	0.00002	0.000045	-0.000103	-0.000021	0.000032	0.000109	-0.000076	-0.000053	-0.000005	-0.000112	-0.000066	-0.000012	-0.000119	-0.000009	-0.000077	-0.000048	-0.0001	-0.000081	-0.000096	-0.000028	-0.00004	-0.000115	-0.000013	-0.000072	-0.000081	-0.000096	-0.000112	-0.000007	-0.000031	-0.000034	-0.000003	0.092515	-0.000061	-0.000071	-0.000077	-0.000051	-0.000056	-0.00011	-0.000054	537.057269	-0.010205	2060.1072	NaN	NaN
08022017 12:37:10.280226	1	6	Windoff	77.528719	14.3058	-0.000072	14.30616	-0.00003	-0.000072	0.000128	0.000138	-0.000016	0.000126	0.000003	-0.000062	-0.000004	0.000011	0.089689	0.000021	-0.000026	-0.000008	0.000006	0.000143	-0.000065	0.000065	0.000079	0.000068	-0.000028	0.000049	-0.000011	0.000091	-0.00003	0.000042	0.000023	-0.000012	-0.000079	0.000022	0.000074	-0.000019	-0.000076	0.000004	-0.000089	-0.00007	-0.000047	-0.000113	-0.00001	-0.00005	-0.000053	-0.000078	-0.000074	-0.000067	-0.000037	-0.000024	-0.000069	-0.000005	-0.00005	-0.000058	-0.000071	-0.000052	-0.000013	-0.000024	-0.000039	-0.000019	0.089767	-0.000047	0.000001	-0.000063	-0.000038	-0.000029	-0.000053	-0.000034	537.198719	-0.009795	2060.0352	NaN	NaN
08022017 12:45:59.280226	2	7	Station13-50fps-5sec	78.165911	14.30234	0.020439	14.2946	0.008059	-0.010873	0.00786	-0.010446	0.007836	-0.010502	0.007528	-0.010056	0.00779	-0.01043	0.095572	0	0.007815	-0.010268	0.008103	-0.010145	0.007736	-0.010475	0.007978	-0.009954	0.007827	-0.010199	0.007561	-0.009993	0.007614	-0.010075	0.007708	-0.010007	0.007691	-0.010102	0.00766	-0.010051	0.007613	-0.010226	0.007272	-0.010281	0.007396	-0.010405	0.000014	0.00008	0.007598	-0.01046	0.007663	-0.010728	0.000001	0.000055	0.000098	0.00003	0.000049	-0.000022	0.00004	0.000082	0.000006	0.00002	0.000023	0.000016	0.09575	0.000042	0.000117	0.000046	0.000044	0.00008	0.000138	0.000097	537.835911	1956.560112	2058.4224	1174.734442	8811116.881
08022017 12:46:23.280226	2	8	Station13-50fps-10sec	78.219796	14.3021	0.020465	14.29458	0.008073	-0.010896	0.007892	-0.010463	0.007837	-0.010516	0.007658	-0.01007	0.007919	-0.01046	0.096048	0.000001	0.007793	-0.01028	0.008088	-0.010168	0.007746	-0.010484	0.007941	-0.009955	0.007785	-0.01023	0.007525	-0.010015	0.007611	-0.010095	0.00765	-0.010036	0.00763	-0.010145	0.007603	-0.010077	0.007624	-0.010268	0.007307	-0.010332	0.00739	-0.010451	0.000016	0.000067	0.007599	-0.010514	0.007616	-0.010761	-0.000001	0.000046	0.000091	0.000029	0.000052	-0.000017	0.000045	0.000085	-0.000001	0.000019	0.000028	0.000011	0.096227	0.000039	0.000106	0.000045	0.000048	0.00008	0.000136	0.000099	537.889796	1955.498544	2.946946	2535.390602	4080281.155
08022017 12:46:42.280226	2	9	Station13-50fps-15sec	78.254497	14.301987	0.02044	12.03562	0.008017	-0.010884	0.007852	-0.010434	0.007792	-0.010505	0.007677	-0.010057	0.007933	-0.010445	0.096505	-0.000011	0.007815	-0.010265	0.008052	-0.010155	0.007688	-0.01047	0.00795	-0.009947	0.00778	-0.010226	0.007497	-0.009998	0.007589	-0.010094	0.007612	-0.010011	0.00761	-0.010137	0.007477	-0.010065	0.007578	-0.010243	0.007301	-0.010306	0.007413	-0.010436	0.000017	0.000067	0.007598	-0.010502	0.007565	-0.010743	0	0.000043	0.00008	0.000028	0.000044	-0.000022	0.000038	0.000071	0.000003	0.000012	0.000022	0.000011	0.096698	0.000036	0.000094	0.000038	0.000046	0.000075	0.000121	0.000091	537.924497	1646.472816	2.943312	2534.234596	3437044.999
